NOME;CONCESSION;ANO_OPERA;TENSAO;LONGITUDE;LATITUDE;CD_MUN;CPU
SE Jeceaba;CEMIG - Companhia Energética de Minas Gerais;2010;345/33;0;0;
SE Ji-Paraná;ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A;-;230/138/69;0;0;
SE João Camara 2;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;2014;230;0;0;
SE João Camara III;ETN - EXTREMOZ TRANSMISSORA DO NORDESTE;2014;500;0;0;
SE João Monlevade 4;MANTIQUEIRA TRANSMIS - MANTIQUEIRA TRANSMISSORA DE ENERGIA S.A.;2022;230;0;0;
SE Joinville Norte;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;2009;230/138;0;0;
SE Joinville;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;-;230/138/69;0;0;
SE Jorge Lacerda A;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;1965;230/138/69;0;0;
SE Jorge Lacerda B;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;1979;230;0;0;
SE Jorge Teixeira;AMAZONAS GT - AMAZONAS GERAÇÃO E TRANSMISSÃO DE ENERGIA SA;2014;230/138/13,8;0;0;
SE Juazeiro II;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230/69;0;0;
SE Juazeiro III;ODOYA - ODOYA TRANSMISSORA DE ENERGIA S A;2016;500/230;0;0;
SE Juiz de Fora 1;CEMIG - Companhia Energética de Minas Gerais;1966;345/138/13,8;0;0;
SE Jupiá;RPE - RIO PARANÁ ENERGIA;1969;440/138;0;0;
SE Jurumirim;DUKE ENERGY - Duke Energy Internacional - Geração Paranapanema;1962;230/138;0;0;
SE Jurupari;XINGU TRA - LINHAS DE XINGU TRANSMISSORA DE ENERGIA SA;2013;500/230;0;0;
SE Juruti;PARINTINS AMAZONAS - PARINTINS AMAZONAS TRANSMISSORA DE ENERGIA S.A.;2023;230/138;0;0;
SE Lages;STC - STC - Sistema de Transmissão Catarinense S.A.;2007;230/138;0;0;
SE Lagoa Vermelha 2;ETAU - EMPRESA DE TRANSMISSÃO DO ALTO DO URUGUAI S/A;2005;230/138;0;0;
SE Lajeado;INVESTCO - Investco S.A;2001;500/230;0;0;
SE Lajeado Grande;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;2003;230/138;0;0;
SE Lajeado 2;CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica;-;230/69/13,8;0;0;
SE Laranjal;MACAPA TRA - LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA SA;2014;230/69;0;0;
SE Lechuga;MANAUS TR - MANAUS TRANSMISSORA DE ENERGIA S.A;2013;500/230/138;0;0;
SE Livramento 2;CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica;-;230/69;0;0;
SE Livramento 3;SANTANA - SANT’ANA TRANSMISSORA DE ENERGIA ELÉTRICA S.A.;2022;230;0;0;
SE Londrina (ESUL);ELETROSUL - ELETROSUL Centrais Elétricas S.A.;-;525/230;0;0;
SE Lucas do Rio Verde;ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A;2012;230/138/13,8;0;0;
SE Luiz Gonzaga;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;1988;500;0;0;
SE Luziânia;SMTE - Serra da Mesa Transmissora de Energia S/A.;2008;500/138;0;0;
SE Macaé Merchant;FURNAS - Furnas Centrais Elétricas S.A.;2001;345/138;0;0;
SE Macapá;MACAPA TRA - LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA SA;2014;230/69;0;0;
SE Maçambará;CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica;-;230/69;0;0;
SE Macéio II;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;2019;230/69;0;0;
SE Machadinho;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;2001;500;0;0;
SE Manaus;AMAZONAS GT - AMAZONAS GERAÇÃO E TRANSMISSÃO DE ENERGIA SA;-;230/69;0;0;
SE Manoel da Nóbrega;ELTE - EMPRESA LITORANEA DE TRANSMISSAO DE ENERGIA S.A. - ELTE;2024;230/138/88;0;0;
SE Marabá;ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A;-;500/230/69;0;0;
SE Maracanaú;CPFL MARACANAÚ - CPFL TRANSMISSÃO DE ENERGIA MARACANAÚ LTDA.;2022;230/69;0;0;
SE Marechal Rondon;MRTE - MARECHAL RONDON TRANSMISSORA DE ENERGIA SA;2016;440/138;0;0;
SE Marimbondo;FURNAS - Furnas Centrais Elétricas S.A.;1975;500/345;0;0;
SE Marimbondo 2;GTE - Guaraciaba Transmissora de Energia S A;2016;500;0;0;
