NOME;PROPRIET;POTENCIA;INI_OPER;CEG;CREATED_US;CREATED_DA;LAST_EDITE;LAST_EDI_1;CPU
Monte Verde Solar II;60.2700% para BOZEL BRASIL S.A. (PIE) 39.7300% para Central Geradora Fotovoltaica Monte Verde Solar;42471.13;20240307;UFV.RS.RN.045154-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Lar do Sol 9 (Antiga Leo Silveira 9);100% para Usina de Energia Fotovoltaica Lar do Sol V S.A. (PIE);49500;20221026;UFV.RS.MG.037838-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Boa Sorte 1;100% para CENTRAL FOTOVOLTAICA BOA SORTE 1 SPE LTDA. (PIE);44100;20240307;UFV.RS.MG.049183-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
São Gonçalo 4;100% para Enel Green Power São Gonçalo 4 S.A. (PIE);50000;20200521;UFV.RS.PI.033844-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Belmonte 1-3;100% para Belmonte I Parque Solar S.A. (PIE);50000;20231205;UFV.RS.PE.040727-5.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Fazenda Solar;100% para Enel Green Power Fazenda S.A. (REG);900;20150601;UFV.RS.MT.035492-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
AC XXIII;100% para VALE S.A. (PIE);39496;20230415;UFV.RS.MG.037634-5.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Sol do Sertão VIII;100% para SOL DO SERTÃO OB II ENERGIA SOLAR LTDA (PIE);95245;20210901;UFV.RS.BA.032066-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Coopermaçã;100% para COOPERMACA Indústria e Comércio de Maçãs LTDA. (REG);600;20221130;UFV.RS.RS.071671-5.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Hélio Valgas 2;100% para GERADORA SOLAR HELIO VALGAS I S.A. (PIE);50000;20230819;UFV.RS.MG.042992-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
