NOME;POTENCIA;PROPRIET;INI_OPER;CEG;CREATED_US;CREATED_DA;LAST_EDITE;LAST_EDI_1;CPU
Santo Antônio;3000;100% para Santo Antônio Energia Eólica S.A. (PIE);20110708;EOL.CV.SC.029053-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Cristalândia I;30000;100% para ENEL GREEN POWER CRISTALANDIA I EOLICA S.A (PIE);20170901;EOL.CV.BA.032081-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Lanchinha;28000;100% para Gestamp Eólica Lanchinha S.A. (PIE);20160219;EOL.CV.RN.030860-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Jerusalém VI;33600;100% para CENTRAL EOLICA JERUSALEM VI S.A. (PIE);20230119;EOL.CV.RN.037299-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Delta 5 II;27000;100% para DELTA 5 II ENERGIA S.A. (PIE);20181228;EOL.CV.MA.037972-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Parque Eólico dos Índios 2;29900;100% para Ventos dos Índios Energia S.A (PIE);20141216;EOL.CV.RS.030734-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Aura Lagoa do Barro 04;27000;100% para Lagoa do Barro IV Energias Renováveis S.A (PIE);20181228;EOL.CV.PI.033620-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Quatro Ventos;22500;100% para EOLICA QUATRO VENTOS S.A (PIE);20230704;EOL.CV.PE.031809-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ubatuba;12600;100% para Energia dos Ventos II S.A. (PIE);20181222;EOL.CV.CE.030918-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Serrote I;25200;100% para SERROTE I GERAÇÃO DE ENERGIA ELÉTRICA S.A (PIE);20210112;EOL.CV.CE.040878-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Seraíma;30240;100% para Centrais Eólicas Seraima S.A (PIE);20141011;EOL.CV.BA.030546-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Aroeira 7;47300;100% para Enel Green Power Aroeira 07 S.A. (PIE);20231219;EOL.CV.BA.044952-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Serra do Vento;31185;100% para SERRA DO VENTO ENERGÉTICA S.A. (PIE);20201119;EOL.CV.BA.035229-2.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Testa Branca I;22000;100% para TESTA BRANCA I ENERGIA S.A. (PIE);20160923;EOL.CV.PI.031666-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de São Vitor 13;31000;100% para Ventos de São Vítor 13 Energias Renováveis S.A. (PIE);20230718;EOL.CV.BA.034850-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de Santa Angela 04;31500;100% para ENEL GREEN POWER VENTOS DE SANTA ANGELA 4 S.A. (PIE);20201112;EOL.CV.PI.033008-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de Santo Augusto VI;29900;100% para Ventos de Santo Augusto VI Energias Renováveis S.A (PIE);20170324;EOL.CV.PI.031766-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Dunas de Paracuru;42000;100% para VENTOS BRASIL GERAÇÃO E COMERCIALIZAÇÃO DE ENERGIA ELÉTRICA S.A. (PIE);20121222;EOL.CV.CE.030299-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Taboquinha;21600;100% para Centrais Eólicas Taboquinha S.A. (PIE);20220608;EOL.CV.BA.031406-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de Santa Ângela 18;31500;100% para ENEL GREEN POWER VENTOS DE SANTA ÂNGELA ACL 18 S.A (PIE);20210313;EOL.CV.PI.033022-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
